name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
Home in Albany · ★4.82 · 3 bedrooms · 3 beds · 2 baths,Terra,ELEVENTH WARD,42.66048,-73.77269,Entire home/apt,200,1,102,22/07/2023,1.53,10,97,4
Rental unit in Albany · ★5.0 · 1 bedroom · 1 bed · 1 private bath,Bela,NINTH WARD,42.65430832,-73.78177643,Private room,55,2,21,10/09/2023,0.35,8,299,16
Home in Albany · ★4.93 · 2 bedrooms · 2 beds · 1.5 baths,Rosanne,EIGHTH WARD,42.64514,-73.80668,Entire home/apt,195,3,14,08/10/2022,0.22,1,179,0
Rental unit in Albany · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,Alice,SIXTH WARD,42.65821,-73.76917,Private room,75,1,59,16/12/2023,0.92,1,276,22
Rental unit in Albany · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,Ed,NINTH WARD,42.65464,-73.78348,Private room,50,1,241,14/12/2023,3.85,3,261,30
Home in Albany · ★4.68 · 1 bedroom · 1 bed · 1 shared bath,Share,TENTH WARD,42.65746,-73.77904,Private room,57,2,57,02/10/2023,0.9,3,86,13
Loft in Albany · ★4.80 · 1 bedroom · 2 beds · 1 bath,Earl,SECOND WARD,42.64535,-73.75365,Entire home/apt,74,1,606,27/12/2023,9.73,6,0,36
Guest suite in Albany · ★4.70 · 1 bedroom · 1 bed · 1 bath,Earl,SECOND WARD,42.64535,-73.75365,Entire home/apt,61,1,529,30/12/2023,8.58,6,319,72
Home in Albany · ★5.0 · Studio · 1 bed · 1 private bath,Rachel,FOURTH WARD,42.6737,-73.75313,Private room,95,1,6,27/05/2023,0.09,1,164,1
Serviced apartment in Albany · ★4.64 · 1 bedroom · 1 bed · 1 bath,Terra,SIXTH WARD,42.65235,-73.76714,Entire home/apt,120,2,88,04/09/2023,1.4,10,281,8
Home in Albany · ★4.94 · 1 bedroom · 1 bed · 1 private bath,Bela,NINTH WARD,42.6533,-73.78114,Private room,55,2,62,08/09/2023,1.03,8,0,12
Home in Albany · ★4.96 · 1 bedroom · 1 bed · 1.5 shared baths,Diana,EIGHTH WARD,42.64936,-73.80278,Private room,55,1,194,03/12/2023,3.27,2,7,41
Home in Albany · 2 bedrooms · 2 beds · 1 shared bath,Sherrell,FOURTH WARD,42.6761,-73.73825,Private room,122,3,0,,,1,180,0
Rental unit in Albany · ★4.67 · 2 bedrooms · 2 beds · 1 bath,Earl,SECOND WARD,42.64563,-73.75311,Entire home/apt,95,1,404,26/12/2023,6.91,6,196,39
Rental unit in Albany · ★4.75 · 2 bedrooms · 2 beds · 1 bath,Earl,SECOND WARD,42.64585,-73.75297,Entire home/apt,94,1,395,01/12/2023,6.88,6,301,51
Rental unit in Albany · ★4.74 · 2 bedrooms · 4 beds · 1 bath,Diana,SECOND WARD,42.64335,-73.7579,Entire home/apt,142,1,238,22/12/2023,4.27,19,0,52
Home in Albany · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,Ed,SEVENTH WARD,42.65259,-73.78223,Private room,50,1,149,12/12/2023,2.72,3,251,56
